model,ratio,order,n_scored,n_abstained,accuracy,f1_macro,cohen_kappa,precision_true,recall_true,precision_false,recall_false
gemma-4-26B-A4B-it,proportional,true-first,3263,0,0.8793,0.7412,0.4827,0.5226,0.5855,0.9385,0.9221
gemma-4-26B-A4B-it,balanced,true-first,3263,0,0.8664,0.7396,0.4814,0.4816,0.6627,0.948,0.8961
gemma-4-26B-A4B-it,proportional,true-last,3263,0,0.8606,0.7284,0.4593,0.465,0.641,0.9446,0.8926
gemma-4-26B-A4B-it,proportional,random,3263,0,0.863,0.7268,0.4553,0.4706,0.6169,0.9415,0.8989
gemma-4-26B-A4B-it,balanced,random,3263,0,0.8419,0.7227,0.4532,0.4288,0.7325,0.9565,0.8578
gemma-4-26B-A4B-it,balanced,true-last,3263,0,0.8219,0.7062,0.4256,0.3962,0.7639,0.9602,0.8304
Qwen3.5-9B,balanced,true-first,3262,1,0.8633,0.7042,0.4087,0.4659,0.5108,0.9277,0.9146
gemma-4-E4B-it,proportional,true-first,3263,0,0.8443,0.6903,0.3826,0.415,0.547,0.9308,0.8876
gemma-4-E4B-it,proportional,random,3263,0,0.836,0.6769,0.3562,0.3925,0.5277,0.9275,0.881
gemma-4-E4B-it,proportional,true-last,3263,0,0.8348,0.6653,0.3323,0.3821,0.4843,0.9218,0.8859
Qwen3.5-9B,proportional,random,3262,1,0.8795,0.6629,0.3316,0.5474,0.306,0.905,0.9631
EuroLLM-22B-Instruct-2512,proportional,random,3262,1,0.844,0.6628,0.3258,0.3969,0.4361,0.9166,0.9034
EuroLLM-22B-Instruct-2512,proportional,true-first,3262,1,0.886,0.6565,0.3236,0.6188,0.2699,0.9017,0.9758
Qwen3.5-9B,proportional,true-last,3262,1,0.8277,0.6532,0.3082,0.3621,0.4651,0.9187,0.8806
EuroLLM-22B-Instruct-2512,proportional,true-last,3261,2,0.8007,0.6531,0.3165,0.3366,0.5831,0.9319,0.8324
Qwen3.5-9B,proportional,true-first,3263,0,0.8842,0.6078,0.2383,0.6697,0.1759,0.8916,0.9874
Qwen3.5-9B,balanced,random,3262,1,0.7124,0.6035,0.2571,0.27,0.7398,0.9492,0.7085
gemma-4-E4B-it,balanced,true-first,3263,0,0.6853,0.592,0.2533,0.2624,0.8145,0.961,0.6664
Qwen3.5-9B,balanced,true-last,3263,0,0.6745,0.5808,0.2349,0.2521,0.7928,0.9561,0.6573
gemma-4-E4B-it,balanced,random,3263,0,0.6712,0.5794,0.2348,0.2515,0.8024,0.9577,0.652
EuroLLM-22B-Instruct-2512,balanced,true-first,3261,2,0.632,0.5461,0.1885,0.2249,0.7735,0.9487,0.6114
gemma-4-E4B-it,balanced,true-last,3263,0,0.6218,0.5402,0.1846,0.222,0.788,0.9508,0.5976
EuroLLM-22B-Instruct-2512,balanced,random,3261,2,0.4824,0.4445,0.1126,0.181,0.8699,0.9573,0.4259
EuroLLM-22B-Instruct-2512,balanced,true-last,3261,2,0.3741,0.3615,0.0702,0.1595,0.9181,0.9611,0.2948
