model,prompt_mode,demo_mode,demo_size,embedding_mode,retrieval_mode,thinking_mode,n_scored,n_abstained,accuracy,f1_macro,cohen_kappa,precision_true,recall_true,precision_false,recall_false
gemma-4-26B-A4B-it,description,dynamic,8,None,random,False,979,0,0.8069,0.692,0.4066,0.3609,0.8348,0.9734,0.8032
gemma-4-26B-A4B-it,description,dynamic,32,None,random,False,979,0,0.7967,0.6868,0.4011,0.3521,0.8696,0.9784,0.787
gemma-4-26B-A4B-it,description,dynamic,16,None,random,False,979,0,0.7988,0.6864,0.3988,0.3525,0.8522,0.9757,0.7917
gemma-4-26B-A4B-it,title,dynamic,32,dense,similarity,False,979,0,0.8018,0.6858,0.3953,0.3532,0.8261,0.9718,0.7986
gemma-4-26B-A4B-it,title,dynamic,8,dense,similarity,False,979,0,0.8172,0.6851,0.3848,0.3609,0.7217,0.9573,0.8299
gemma-4-E4B-it,description,dynamic,32,None,random,False,979,0,0.8039,0.6788,0.3778,0.3478,0.7652,0.9628,0.809
gemma-4-26B-A4B-it,title,dynamic,16,dense,similarity,False,979,0,0.7967,0.677,0.3782,0.3433,0.8,0.9677,0.7963
gemma-4-26B-A4B-it,title,dynamic,4,dense,similarity,False,979,0,0.808,0.67,0.3556,0.342,0.687,0.9519,0.8241
gemma-4-E4B-it,title,dynamic,32,dense,similarity,False,979,0,0.8049,0.667,0.3504,0.3376,0.687,0.9517,0.8206
gemma-4-26B-A4B-it,description,dynamic,4,None,random,False,978,1,0.7638,0.6492,0.3353,0.3092,0.8174,0.9688,0.7567
Qwen3.5-9B,description,dynamic,32,None,random,False,979,0,0.7651,0.6373,0.3062,0.2968,0.7304,0.9555,0.7697
Qwen3.5-9B,description,dynamic,16,None,random,False,979,0,0.7569,0.6329,0.3014,0.2915,0.7478,0.9576,0.7581
gemma-4-E4B-it,title,dynamic,16,dense,similarity,False,979,0,0.7783,0.6315,0.2843,0.2927,0.6261,0.9413,0.7986
gemma-4-E4B-it,description,dynamic,16,None,random,False,979,0,0.7579,0.6311,0.2965,0.2897,0.7304,0.955,0.7616
Qwen3.5-9B,description,dynamic,8,None,random,False,979,0,0.7528,0.6198,0.2734,0.2772,0.687,0.9481,0.7616
gemma-4-E4B-it,title,dynamic,8,dense,similarity,False,979,0,0.715,0.6018,0.2593,0.2602,0.7739,0.9592,0.7072
Qwen3.5-9B,title,dynamic,32,dense,similarity,False,979,0,0.7058,0.5957,0.2521,0.255,0.7826,0.9601,0.6956
gemma-4-E4B-it,description,dynamic,8,None,random,False,979,0,0.6966,0.5907,0.2481,0.2514,0.8,0.9625,0.6829
Qwen3.5-9B,description,dynamic,4,None,random,False,978,1,0.7168,0.5906,0.23,0.2469,0.687,0.9453,0.7207
gemma-4-E4B-it,description,dynamic,4,None,random,False,979,0,0.6578,0.5692,0.2322,0.2381,0.8696,0.9732,0.6296
Qwen3.5-9B,title,dynamic,16,dense,similarity,False,979,0,0.619,0.535,0.1851,0.2121,0.8261,0.9623,0.5914
gemma-4-E4B-it,title,dynamic,4,dense,similarity,False,979,0,0.6006,0.5244,0.1788,0.2076,0.8522,0.9665,0.5671
Qwen3.5-9B,title,dynamic,4,dense,similarity,False,979,0,0.5996,0.5077,0.1335,0.1859,0.713,0.9387,0.5845
Qwen3.5-9B,title,dynamic,8,dense,similarity,False,979,0,0.5802,0.501,0.1395,0.1878,0.7739,0.9485,0.5544
EuroLLM-22B-Instruct-2512,title,dynamic,32,dense,similarity,False,976,3,0.5492,0.4844,0.1349,0.1845,0.8261,0.9566,0.5122
EuroLLM-22B-Instruct-2512,description,dynamic,32,None,random,False,979,0,0.5117,0.4651,0.1386,0.1843,0.9217,0.9777,0.4572
EuroLLM-22B-Instruct-2512,title,dynamic,16,dense,similarity,False,979,0,0.4995,0.4465,0.0996,0.1658,0.8087,0.9474,0.4583
EuroLLM-22B-Instruct-2512,description,dynamic,16,None,random,False,979,0,0.4842,0.4403,0.1084,0.1695,0.8696,0.9614,0.4329
EuroLLM-22B-Instruct-2512,description,dynamic,8,None,random,False,979,0,0.4321,0.401,0.0816,0.156,0.8696,0.9556,0.3738
EuroLLM-22B-Instruct-2512,title,dynamic,8,dense,similarity,False,979,0,0.4249,0.3972,0.0851,0.1575,0.8957,0.9631,0.3623
EuroLLM-22B-Instruct-2512,description,dynamic,4,None,random,False,979,0,0.4086,0.3859,0.0841,0.1568,0.9217,0.9703,0.3403
EuroLLM-22B-Instruct-2512,title,dynamic,4,dense,similarity,False,979,0,0.3749,0.3605,0.0777,0.1534,0.9565,0.9809,0.2975
